#!!!!___DO NOT SORT____!!!!		#Projection		#cut	
#Category	#Sub Category	#Layer	#Color ID	#Layer	#Color ID
#Model categories					
Railings	Balusters	N-CO-SC-STAALVORM-G	7	N-CO-SC-STAALVORM-GD	90
Railings	Handrails	N-CO-SC-STAALVORM-G	7	N-CO-SC-STAALVORM-GD	90
Railings	Hidden Lines	N-CO-SC-STAALVORM-GN	10	N-CO-SC-STAALVORM-GN	10
Railings	Rails	N-CO-SC-STAALVORM-G	7	N-CO-SC-STAALVORM-GD	90
Railings	Supports	N-CO-SC-STAALVORM-G	7	N-CO-SC-STAALVORM-GD	90
Railings	Terminations	N-CO-SC-STAALVORM-G	7	N-CO-SC-STAALVORM-GD	90
Railings	Top Rails	N-CO-SC-STAALVORM-G	7	N-CO-SC-STAALVORM-GD	90
Ramps		N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GN	10
Ramps	Beton	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Ramps	Down Arrow	X-XX-AL-AANPIJLING-G	7	X-XX-AL-AANPIJLING-GD	7
Ramps	DOWN text	X-XX-AL-T25	7	X-XX-AL-T25	7
Ramps	Hidden Lines	N-CO-BC-BETONVORM-GN	10	N-CO-BC-BETONVORM-GN	10
Ramps	Hout	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	90
Ramps	Ramps Beyond Cut Line	N-CO-BC-BETONVORM-GN	10	N-CO-BC-BETONVORM-GN	10
Ramps	Staal	N-CO-SC-STAALVORM-G	10	N-CO-SC-STAALVORM-GD	90
Ramps	Stringers	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Ramps	Stringers Beyond Cut Line	N-CO-BC-BETONVORM-GN	7	N-CO-BC-BETONVORM-GN	10
Ramps	Up Arrow	X-XX-AL-AANPIJLING-G	7	X-XX-AL-VERWIJZING-G	7
Ramps	UP text	X-XX-AL-T25	7	X-XX-AL-T25	7
Raster Images		X-XX-AL-REFERENTIE-G	7		
Roads		N-WE-VH-VERHARDING-G	252	N_WE_VH_VERHARDING_GD	252
Roads	Asfalt	N-WE-VH-VERHARDING_ASFALT-G	253	N-WE-VH-VERHARDING_ASFALT-GD	252
Roads	Beton	N-WE-VH-VERHARDING_BETON-G	252	N-WE-VH-VERHARDING_BETON-GD	252
Roads	Hidden Lines	N-WE-VH-ASFALT-GN	253	N_WE_VH_VERHARDING_GN	253
Roofs		N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Roofs	Beton	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	60
Roofs	Common Edges	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Roofs	Curtain Roof Grids	X-XX-AL-HARTLIJN-G	7	X-XX-AL-HARTLIJN-G	7
Roofs	Cut Pattern	N-CO-HC-HOUTVORM-A	252	N-CO-HC-HOUTVORM-AD	252
Roofs	Fascias	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Roofs	Finish 1 [4]	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Roofs	Finish 2 [5]	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Roofs	Gutters	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Roofs	Hidden Lines	N-CO-HC-HOUTVORM-GN	10	N-CO-HC-HOUTVORM-GN	10
Roofs	Hout	N-CO-BC-HOUTVORM-G	30	N-CO-BC-HOUTVORM-GD	90
Roofs	Hulpconstructies	N-CO-HU-HULPCONSTRUCTIES-G	7	N-CO-HU-HULPCONSTRUCTIES-GD	90
Roofs	Interior Edges	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Roofs	Membrane Layer	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Roofs	Roof Soffits	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Roofs	Staal	N-CO-BC-STAALVORM-G	10	N-CO-BC-STAALVORM-GD	90
Roofs	Structure [1]	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Roofs	Substrate [2]	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Roofs	Surface Pattern	N-CO-HC-HOUTVORM-A	252	N-CO-HC-HOUTVORM-AD	252
Roofs	Thermal/Air Layer [3]	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Rooms		N-WE-KG-GRENS-G	150		
Rooms	Color Fill	N-WE-KG-GRENS-A	132		
Rooms	Interior Fill	N-WE-KG-GRENS-A	132		
Rooms	Reference	N-WE-KG-GRENS-G	150		
Security Devices		X-XX-AL-NTB-G	180		
Shaft Openings		N-CO-MC-MECHANISCHVORM-G	60		
Shaft Openings	Hidden Lines	N-CO-MC-MECHANISCHVORM-GN	20		
Site		N-WE-OG-DTM-G	7	N-WE-OG-DTM-GD	7
Site	Grondwerk	N-WE-OG-DTM-G	7	N-WE-OG-DTM-GD	7
Site	Hidden Lines	N-WE-OG-DTM-GN	7	N-WE-OG-DTM-GN	7
Site	Maaiveld	N-WE-OG-DTM-G	7	N-WE-OG-DTM-GD	7
Site	Noordpijl	N-WE-OG-DTM-G	7	N-WE-OG-DTM-GD	7
Site	Pads	N-WE-OG-DTM-G	7	N-WE-OG-DTM-GD	7
Site	Project Base Point	N-WE-OG-COORDINAAT-G	7	N-WE-OG-COORDINAAT-G	7
Site	Property Lines	N-WE-OG-GRENS-G	7	N-WE-OG-GRENS-G	7
Site	Survey Point	N-WE-OG-COORDINAAT-G	7	N-WE-OG-COORDINAAT-G	7
Spaces		N-WE-KG-GRENS-G	150		
Spaces	Color Fill	N-WE-KG-GRENS-A	132		
Spaces	Interior	N-WE-KG-GRENS-A	132		
Spaces	Reference	N-WE-KG-GRENS-G	150		
Specialty Equipment		X-XX-AL-NTB-G	180		
Specialty Equipment	Hidden Lines	X-XX-AL-NTB-GN	200		
Sprinklers		X-XX-AL-NTB-G	180		
Stairs		N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Stairs	<Above> Cut Marks	N-CO-BC-BETONVORM-GN	10	N-CO-BC-BETONVORM-GN	10
Stairs	<Above> Nosing Lines	N-CO-BC-BETONVORM-GN	10	N-CO-BC-BETONVORM-GN	10
Stairs	<Above> Outlines	N-CO-BC-BETONVORM-GN	10	N-CO-BC-BETONVORM-GN	10
Stairs	<Above> Riser Lines	N-CO-BC-BETONVORM-GN	10	N-CO-BC-BETONVORM-GN	10
Stairs	<Above> Supports	N-CO-BC-BETONVORM-GN	10	N-CO-BC-BETONVORM-GN	10
Stairs	Beton	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Stairs	Cut Marks	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Stairs	Hidden Lines	N-CO-BC-BETONVORM-GN	10	N-CO-BC-BETONVORM-GN	10
Stairs	Hout	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	90
Stairs	Nosing Lines	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Stairs	Outlines	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Stairs	Riser Lines	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Stairs	Staal	N-CO-SC-STAALVORM-G	10	N-CO-SC-STAALVORM-GD	90
Stairs	Supports	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Stairs	Treads/Risers	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Structural Area Reinforcement		N-CO-BC-WAPENING-G	170	N-CO-BC-WAPENING-GD	130
Structural Area Reinforcement	Boundary	N-CO-BC-WAPENING-G	170	N-CO-BC-WAPENING-GD	130
Structural Beam Systems		N-CO-BC-BETONVORM-G	50		
Structural Beam Systems	Beton	N-CO-BC-BETONVORM-G	50		
Structural Beam Systems	Hout	N-CO-HC-HOUTVORM-G	30		
Structural Beam Systems	Staal	N-CO-SC-STAALVORM-G	10		
Structural Columns		N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Structural Columns	Beton	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Structural Columns	Hartlijn	N-CO-XX-HARTLIJN-G	7	N-CO-XX-HARTLIJN-G	7
Structural Columns	Hidden Faces	N-CO-SC-STAALVORM-GN	10	N-CO-SC-STAALVORM-GN	10
Structural Columns	Hidden Lines	N-CO-BC-BETONVORM-GN	10	N-CO-BC-BETONVORM-GN	10
Structural Columns	Hout	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	90
Structural Columns	Rigid Links	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Structural Columns	Staal	N-CO-SC-STAALVORM-G	10	N-CO-SC-STAALVORM-GD	90
Structural Columns	Stick Symbols	N-CO-AL-T25	7	N-CO-AL-T25	7
Structural Connections		N-CO-SC-STAALVORM-G	10	N-CO-SC-STAALVORM-GD	90
Structural Connections	Hidden Lines	N-CO-SC-STAALVORM-G	10	N-CO-SC-STAALVORM-GD	90
Structural Fabric Areas		N-CO-BC-WAPENING-G	170	N-CO-BC-WAPENING-GD	130
Structural Fabric Areas	Boundary	N-CO-BC-WAPENING-G	170	N-CO-BC-WAPENING-GD	130
Structural Fabric Reinforcement		N-CO-BC-WAPENING-G	170	N-CO-BC-WAPENING-GD	130
Structural Fabric Reinforcement	Boundary	N-CO-BC-WAPENING-G	170	N-CO-BC-WAPENING-GD	130
Structural Fabric Reinforcement	Fabric Wire	N-CO-BC-WAPENING-G	170	N-CO-BC-WAPENING-GD	130
Structural Foundations		N-CO-AL-XXX_FUNDERING-G	7	N-CO-AL-XXX_FUNDERING-GD	90
Structural Foundations	Beton	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Structural Foundations	Hartlijn	N-CO-XX-HARTLIJN-G	7	N-CO-XX-HARTLIJN-G	7
Structural Foundations	Hidden Lines	N-CO-AL-XXX_FUNDERING-GN	7	N-CO-AL-XXX_FUNDERING-GN	7
Structural Foundations	Hulpconstructies	N-CO-HU-HULPCONSTRUCTIES-G	7	N-CO-HU-HULPCONSTRUCTIES-GD	90
Structural Foundations	Metselwerk	N-CO-MC-METSELWERKVORM-G	50	N-CO-MC-METSELWERKVORM-GD	90
Structural Foundations	Plan Rep	N-CO-AL-XXX_FUNDERING-G	7	N-CO-AL-XXX_FUNDERING-GD	90
Structural Foundations	Staal	N-CO-SC-STAALVORM-G	10	N-CO-SC-STAALVORM-GD	90
Structural Framing		N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Structural Framing	Beton	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Structural Framing	Chord	N-CO-SC-STAALVORM-G	10	N-CO-SC-STAALVORM-GD	90
Structural Framing	Girder	N-CO-SC-STAALVORM-G	10	N-CO-SC-STAALVORM-GD	90
Structural Framing	Hidden Faces	N-CO-BC-BETONVORM-GN	10	N-CO-BC-BETONVORM-GN	10
